rle,xup,yup,yxxup,xlo,ylo,yxxlo,alpha_te,beta_te,CL,CD,CM
0.008126875,0.463659375,0.064570781,-0.492817969,0.397414688,-0.054206406,0.705795469,-0.128610313,0.194176563,0.874060492,0.008158229,0.139321004
0.008806875,0.420339375,0.070860781,-0.365467969,0.433594688,-0.060096406,0.635105469,-0.094830313,0.144796563,0.77794265,0.012985965,0.112788344
0.007446875,0.506979375,0.058280781,-0.450367969,0.361234688,-0.048316406,0.776485469,-0.117350313,0.177716563,0.902995261,0.00655826,0.142010993
0.007786875,0.398679375,0.067715781,-0.386692969,0.415504688,-0.051261406,0.811830469,-0.134240313,0.153026563,0.940109951,0.020896737,0.161830093
0.009146875,0.485319375,0.055135781,-0.471592969,0.343144688,-0.063041406,0.670450469,-0.111720313,0.185946563,0.686976691,0.00666628,0.091886079
0.008466875,0.355359375,0.061425781,-0.344242969,0.306964688,-0.057151406,0.599760469,-0.122980313,0.136566563,0.814046956,0.015344959,0.121544806
0.007106875,0.441999375,0.074005781,-0.429142969,0.379324688,-0.068931406,0.741140469,-0.100460313,0.169486563,0.78168169,0.015978747,0.136232884
0.006936875,0.431169375,0.056708281,-0.482205469,0.388369688,-0.070403906,0.829502969,-0.120165313,0.148911563,0.643822002,0.003936058,0.082708746
0.008296875,0.517809375,0.069288281,-0.397305469,0.316009688,-0.058623906,0.688122969,-0.097645313,0.181831563,0.928985211,0.008986035,0.163783212
0.008976875,0.387849375,0.062998281,-0.439755469,0.352189688,-0.064513906,0.617432969,-0.131425313,0.132451563,0.757619737,0.010803669,0.107664181
0.007616875,0.474489375,0.050418281,-0.354855469,0.424549688,-0.052733906,0.758812969,-0.108905313,0.165371563,0.697100849,0.005243526,0.0828873
0.007276875,0.366189375,0.072433281,-0.503430469,0.334099688,-0.049788906,0.794157969,-0.092015313,0.157141563,0.91934599,0.030683003,0.169096975
0.008636875,0.452829375,0.059853281,-0.418530469,0.406459688,-0.061568906,0.652777969,-0.114535313,0.190061563,0.728684921,0.002548691,0.0908112
